doc_id,category,filename,title,title_removal_mode,removed_title_text,retained_first_line_body,sentence_count,avg_sentence_len,median_sentence_len
1,01_1情感生活,2015_09_15 女友对你作？你应该谢天谢地，因为她爱你 conv.txt,2015_09_15 女友对你作？你应该谢天谢地，因为她爱你,date_header_standalone_line,女友对你作？你应该谢天谢地，因为她爱你 咪蒙 2015-09-15,,59,24.51,22.0
2,01_1情感生活,2015_09_17 最高级的浪漫，就是柴米油盐鸡毛蒜皮 conv.txt,2015_09_17 最高级的浪漫，就是柴米油盐鸡毛蒜皮,date_header_standalone_line,最高级的浪漫，就是柴米油盐鸡毛蒜皮 咪蒙 2015-09-17,,47,34.77,26.0
3,01_1情感生活,2015_09_25 十一长假宅在家里看什么剧_ conv.txt,2015_09_25 十一长假宅在家里看什么剧_,date_header_with_inline_body,十一长假宅在家里看什么剧? 咪蒙 2015-09-25,国产剧《琅琊榜》胡歌浑身散发出禁欲主义的诱惑和《伪装者》一样，这部剧是山影出品。“山影”两个字已经像韩国tvN一样，就是电视剧质检认证，可以带给 我们无限的安全感。古装剧里难得担得起“中国美学”四个字的。那种水墨画风、清冷意境、电影画质，妈呀 老子就喜欢这种性冷淡风格，相比之下其他好多国产古装剧简直就是一坨坨庸脂俗粉。 胡歌是难得沉得住气的演员。演了偶像剧再去演话剧，很明显，他的自我定位不是明星，是演员。其实呢， 这部剧的本名叫做《人人都爱梅长苏》，不仅是男版《甄嬛传》，也是男版《花千骨》嘛。那么杰克苏的剧 情，竟然觉得好高端好有道理，谁叫胡歌同学浑身散发出禁欲主义的迷之诱惑呢，谁叫他和吴磊、他和王 凯、他和刘奕君都那么百搭呢。至于女主，好吧，我承认刘涛长得大气、演技也不错，可是，在这种男人戏 里，女人明明就是一坨植入广告嘛。,67,27.31,21.0
4,01_1情感生活,2015_09_26 如何对付爱搞暧昧的男人 conv.txt,2015_09_26 如何对付爱搞暧昧的男人,date_header_standalone_line,如何对付爱搞暧昧的男人 咪蒙 2015-09-26,,79,26.18,22.0
5,01_1情感生活,2015_10_15 异地恋怎么才能成功呢？ conv.txt,2015_10_15 异地恋怎么才能成功呢？,date_header_standalone_line,异地恋怎么才能成功呢？ 咪蒙 2015-10-15,,73,27.66,25.0
6,01_1情感生活,2015_10_17 《康熙来了》教坏我们的那些事 conv.txt,2015_10_17 《康熙来了》教坏我们的那些事,date_header_standalone_line,《康熙来了》教坏我们的那些事 咪蒙 2015-10-17,,117,21.61,19.0
8,01_1情感生活,2015_11_10 成为一个女神，到底要花多少钱？ conv.txt,2015_11_10 成为一个女神，到底要花多少钱？,no_title_detected_keep_all,,“我知道心灵美很重要，但很多时候人家一眼看不到你心灵美不美啊。”,115,24.78,22.0
9,01_1情感生活,2015_11_12 你的美貌不如你的热闹 conv.txt,2015_11_12 你的美貌不如你的热闹,date_header_standalone_line,你的美貌不如你的热闹 原创：咪蒙 咪蒙 2015-11-12,,83,33.81,28.0
10,01_1情感生活,2015_11_28 只要前任老死不相往来，世界将变成美好的人间 conv.txt,2015_11_28 只要前任老死不相往来，世界将变成美好的人间,date_header_standalone_line,只要前任老死不相往来，世界将变成美好的人间 原创：咪蒙 咪蒙 2015-11-28,,81,30.53,21.0
11,01_1情感生活,2015_12_01 当我说_你吃饭了吗_，我说的是_我好想你啊_ conv.txt,2015_12_01 当我说_你吃饭了吗_，我说的是_我好想你啊_,date_header_standalone_line,当我说“你吃饭了吗”，我说的是“我好想你啊” 咪蒙 2015-12-01,,135,22.31,19.0
